id_cliente,nome_cliente,data_cadastro,cep,cidade,uf,segmento_cliente,status_cliente
1,Cliente 00001,2024-04-12,,,,Novo,Ativo
2,Cliente 00002,2025-03-11,,,,Novo,Ativo
3,Cliente 00003,2024-09-27,,,,Recorrente,Ativo
4,Cliente 00004,2024-04-16,,,,Novo,Ativo
5,Cliente 00005,2024-03-12,,,,Novo,Ativo
6,Cliente 00006,2025-12-01,,,,Novo,Ativo
7,Cliente 00007,2024-01-21,,,,Novo,Ativo
8,Cliente 00008,2025-09-06,,,,Recorrente,Ativo
9,Cliente 00009,2024-05-01,,,,Recorrente,Ativo
10,Cliente 00010,2025-04-11,,,,Novo,Ativo
11,Cliente 00011,2024-08-02,,,,Recorrente,Ativo
12,Cliente 00012,2024-11-26,,,,Novo,Ativo
13,Cliente 00013,2025-04-03,,,,Novo,Ativo
14,Cliente 00014,2024-03-28,,,,Recorrente,Ativo
15,Cliente 00015,2025-01-07,,,,Novo,Ativo
16,Cliente 00016,2024-04-09,,,,Novo,Ativo
17,Cliente 00017,2025-10-25,,,,Novo,Ativo
18,Cliente 00018,2024-05-10,,,,Novo,Ativo
19,Cliente 00019,2025-10-23,,,,Novo,Ativo
20,Cliente 00020,2024-11-04,,,,Recorrente,Ativo
21,Cliente 00021,2024-12-09,,,,Novo,Ativo
22,Cliente 00022,2025-05-06,,,,Novo,Ativo
23,Cliente 00023,2025-02-17,,,,Novo,Ativo
24,Cliente 00024,2025-01-20,,,,Recorrente,Ativo
25,Cliente 00025,2024-07-10,,,,Recorrente,Ativo
26,Cliente 00026,2024-10-03,,,,Recorrente,Ativo
27,Cliente 00027,2024-06-09,,,,Recorrente,Ativo
28,Cliente 00028,2025-04-04,,,,Recorrente,Ativo
29,Cliente 00029,2024-11-09,,,,Novo,Ativo
30,Cliente 00030,2024-01-22,,,,Novo,Ativo
31,Cliente 00031,2024-09-09,,,,Recorrente,Ativo
32,Cliente 00032,2025-07-14,,,,VIP,Ativo
33,Cliente 00033,2025-04-19,,,,Recorrente,Ativo
34,Cliente 00034,2024-02-28,,,,Novo,Ativo
35,Cliente 00035,2025-05-25,,,,Novo,Ativo
36,Cliente 00036,2025-11-12,,,,Novo,Ativo
37,Cliente 00037,2025-04-20,,,,Recorrente,Ativo
38,Cliente 00038,2025-11-30,,,,Novo,Ativo
39,Cliente 00039,2024-07-08,,,,Novo,Ativo
40,Cliente 00040,2025-11-17,,,,Recorrente,Ativo
41,Cliente 00041,2025-07-16,,,,Novo,Ativo
42,Cliente 00042,2025-07-20,,,,Recorrente,Ativo
43,Cliente 00043,2024-08-31,,,,Novo,Ativo
44,Cliente 00044,2025-05-19,,,,Novo,Ativo
45,Cliente 00045,2024-05-10,,,,Novo,Ativo
46,Cliente 00046,2025-04-29,,,,Recorrente,Ativo
47,Cliente 00047,2025-10-08,,,,Novo,Ativo
48,Cliente 00048,2024-01-21,,,,Novo,Ativo
49,Cliente 00049,2024-06-15,,,,VIP,Ativo
50,Cliente 00050,2024-09-30,,,,Novo,Ativo
51,Cliente 00051,2025-01-22,,,,Recorrente,Ativo
52,Cliente 00052,2025-08-23,,,,Recorrente,Ativo
53,Cliente 00053,2024-11-11,,,,Novo,Ativo
54,Cliente 00054,2024-01-14,,,,Recorrente,Ativo
55,Cliente 00055,2024-08-29,,,,Novo,Ativo
56,Cliente 00056,2024-12-11,,,,Recorrente,Ativo
57,Cliente 00057,2025-07-18,,,,Novo,Ativo
58,Cliente 00058,2024-12-05,,,,Recorrente,Ativo
59,Cliente 00059,2024-04-01,,,,Novo,Ativo
60,Cliente 00060,2025-01-01,,,,Recorrente,Ativo
61,Cliente 00061,2025-03-30,,,,Novo,Ativo
62,Cliente 00062,2025-03-03,,,,Novo,Ativo
63,Cliente 00063,2025-05-23,,,,Novo,Ativo
64,Cliente 00064,2024-02-04,,,,Novo,Ativo
65,Cliente 00065,2024-07-24,,,,Recorrente,Ativo
66,Cliente 00066,2024-03-21,,,,Novo,Ativo
67,Cliente 00067,2025-07-15,,,,VIP,Ativo
68,Cliente 00068,2025-01-22,,,,VIP,Ativo
69,Cliente 00069,2024-01-02,,,,Recorrente,Ativo
70,Cliente 00070,2025-01-24,,,,Novo,Ativo
71,Cliente 00071,2025-07-19,,,,Novo,Inativo
72,Cliente 00072,2024-04-15,,,,Recorrente,Ativo
73,Cliente 00073,2025-04-21,,,,Novo,Ativo
74,Cliente 00074,2025-12-03,,,,Novo,Inativo
75,Cliente 00075,2025-02-05,,,,Recorrente,Inativo
76,Cliente 00076,2025-12-30,,,,Recorrente,Ativo
77,Cliente 00077,2025-07-09,,,,Recorrente,Ativo
78,Cliente 00078,2024-06-10,,,,Novo,Ativo
79,Cliente 00079,2024-07-20,,,,Recorrente,Inativo
80,Cliente 00080,2024-09-26,,,,Novo,Ativo
81,Cliente 00081,2024-09-27,,,,Novo,Ativo
82,Cliente 00082,2025-03-31,,,,Recorrente,Ativo
83,Cliente 00083,2025-04-06,,,,Novo,Ativo
84,Cliente 00084,2025-12-27,,,,Novo,Ativo
85,Cliente 00085,2024-09-08,,,,Novo,Ativo
86,Cliente 00086,2025-12-02,,,,Recorrente,Ativo
87,Cliente 00087,2024-10-22,,,,Recorrente,Ativo
88,Cliente 00088,2025-12-25,,,,Recorrente,Ativo
89,Cliente 00089,2025-12-20,,,,Recorrente,Ativo
90,Cliente 00090,2024-12-03,,,,Novo,Ativo
91,Cliente 00091,2024-02-22,,,,Novo,Ativo
92,Cliente 00092,2024-08-04,,,,Novo,Ativo
93,Cliente 00093,2024-07-06,,,,Novo,Ativo
94,Cliente 00094,2025-01-14,,,,Novo,Ativo
95,Cliente 00095,2025-05-07,,,,VIP,Ativo
96,Cliente 00096,2024-02-10,,,,Novo,Ativo
97,Cliente 00097,2024-06-05,,,,Novo,Ativo
98,Cliente 00098,2024-01-15,,,,Novo,Ativo
99,Cliente 00099,2024-03-05,,,,Novo,Ativo
100,Cliente 00100,2025-06-04,,,,VIP,Ativo
101,Cliente 00101,2024-12-09,,,,Novo,Ativo
102,Cliente 00102,2024-05-08,,,,Novo,Ativo
103,Cliente 00103,2025-10-09,,,,Recorrente,Ativo
104,Cliente 00104,2025-04-16,,,,Novo,Ativo
105,Cliente 00105,2024-03-03,,,,Novo,Ativo
106,Cliente 00106,2024-05-18,,,,Novo,Ativo
107,Cliente 00107,2025-05-13,,,,Recorrente,Ativo
108,Cliente 00108,2025-08-15,,,,VIP,Ativo
109,Cliente 00109,2025-01-26,,,,Recorrente,Ativo
110,Cliente 00110,2025-11-05,,,,Novo,Ativo
111,Cliente 00111,2025-02-22,,,,Recorrente,Ativo
112,Cliente 00112,2024-10-15,,,,Novo,Ativo
113,Cliente 00113,2025-01-13,,,,Novo,Ativo
114,Cliente 00114,2025-05-04,,,,Novo,Ativo
115,Cliente 00115,2024-08-18,,,,Novo,Ativo
116,Cliente 00116,2024-02-10,,,,Novo,Ativo
117,Cliente 00117,2024-01-28,,,,Recorrente,Ativo
118,Cliente 00118,2024-05-14,,,,VIP,Ativo
119,Cliente 00119,2024-07-19,,,,Novo,Ativo
120,Cliente 00120,2024-02-02,,,,Novo,Ativo
121,Cliente 00121,2024-02-17,,,,Novo,Ativo
122,Cliente 00122,2025-05-17,,,,Novo,Ativo
123,Cliente 00123,2025-02-10,,,,Recorrente,Ativo
124,Cliente 00124,2025-07-27,,,,Novo,Ativo
125,Cliente 00125,2025-12-28,,,,Recorrente,Ativo
126,Cliente 00126,2024-04-08,,,,Novo,Ativo
127,Cliente 00127,2025-11-14,,,,Novo,Ativo
128,Cliente 00128,2025-12-26,,,,Novo,Ativo
129,Cliente 00129,2025-06-30,,,,Novo,Inativo
130,Cliente 00130,2025-09-04,,,,Novo,Ativo
131,Cliente 00131,2025-04-06,,,,Recorrente,Ativo
132,Cliente 00132,2025-10-04,,,,Novo,Ativo
133,Cliente 00133,2024-01-05,,,,Recorrente,Ativo
134,Cliente 00134,2024-08-05,,,,Novo,Ativo
135,Cliente 00135,2025-05-17,,,,Novo,Ativo
136,Cliente 00136,2025-02-01,,,,Novo,Ativo
137,Cliente 00137,2025-01-27,,,,Recorrente,Ativo
138,Cliente 00138,2024-07-25,,,,Novo,Ativo
139,Cliente 00139,2024-01-15,,,,Recorrente,Ativo
140,Cliente 00140,2025-07-07,,,,Novo,Ativo
141,Cliente 00141,2025-04-05,,,,Recorrente,Ativo
142,Cliente 00142,2025-11-21,,,,Novo,Ativo
143,Cliente 00143,2025-07-28,,,,Recorrente,Ativo
144,Cliente 00144,2024-08-28,,,,Recorrente,Ativo
145,Cliente 00145,2025-07-17,,,,VIP,Ativo
146,Cliente 00146,2024-04-05,,,,Novo,Ativo
147,Cliente 00147,2025-04-29,,,,Novo,Ativo
148,Cliente 00148,2025-02-10,,,,Novo,Ativo
149,Cliente 00149,2024-08-18,,,,Recorrente,Ativo
150,Cliente 00150,2025-10-16,,,,Novo,Ativo
151,Cliente 00151,2024-06-19,,,,Recorrente,Ativo
152,Cliente 00152,2025-06-24,,,,Novo,Ativo
153,Cliente 00153,2024-02-05,,,,Novo,Ativo
154,Cliente 00154,2025-06-08,,,,Novo,Ativo
155,Cliente 00155,2024-06-08,,,,VIP,Inativo
156,Cliente 00156,2025-11-29,,,,Recorrente,Ativo
157,Cliente 00157,2024-08-30,,,,VIP,Ativo
158,Cliente 00158,2024-03-26,,,,Novo,Ativo
159,Cliente 00159,2025-07-31,,,,Recorrente,Inativo
160,Cliente 00160,2025-11-12,,,,Recorrente,Ativo
161,Cliente 00161,2025-07-10,,,,Novo,Ativo
162,Cliente 00162,2025-07-27,,,,Recorrente,Ativo
163,Cliente 00163,2025-10-07,,,,VIP,Ativo
164,Cliente 00164,2024-01-28,,,,Recorrente,Ativo
165,Cliente 00165,2025-09-11,,,,Recorrente,Ativo
166,Cliente 00166,2025-07-09,,,,Novo,Ativo
167,Cliente 00167,2024-12-05,,,,Novo,Ativo
168,Cliente 00168,2024-11-26,,,,VIP,Ativo
169,Cliente 00169,2025-10-01,,,,Novo,Ativo
170,Cliente 00170,2025-05-20,,,,Recorrente,Ativo
171,Cliente 00171,2024-12-13,,,,Recorrente,Ativo
172,Cliente 00172,2025-04-17,,,,Recorrente,Ativo
173,Cliente 00173,2024-08-18,,,,VIP,Ativo
174,Cliente 00174,2024-07-08,,,,Novo,Ativo
175,Cliente 00175,2024-08-12,,,,Novo,Ativo
176,Cliente 00176,2025-01-19,,,,Novo,Ativo
177,Cliente 00177,2025-01-11,,,,Novo,Ativo
178,Cliente 00178,2024-10-09,,,,Novo,Ativo
179,Cliente 00179,2025-09-24,,,,Novo,Ativo
180,Cliente 00180,2025-09-19,,,,Recorrente,Ativo
181,Cliente 00181,2024-09-15,,,,VIP,Ativo
182,Cliente 00182,2024-12-24,,,,Novo,Ativo
183,Cliente 00183,2025-12-10,,,,Novo,Ativo
184,Cliente 00184,2025-03-31,,,,VIP,Ativo
185,Cliente 00185,2025-02-14,,,,Novo,Ativo
186,Cliente 00186,2025-10-10,,,,Novo,Ativo
187,Cliente 00187,2024-11-13,,,,Novo,Ativo
188,Cliente 00188,2025-11-07,,,,Recorrente,Ativo
189,Cliente 00189,2024-08-12,,,,Novo,Ativo
190,Cliente 00190,2024-08-21,,,,VIP,Ativo
191,Cliente 00191,2025-11-14,,,,Novo,Ativo
192,Cliente 00192,2025-10-25,,,,Novo,Ativo
193,Cliente 00193,2025-01-08,,,,Novo,Ativo
194,Cliente 00194,2025-11-02,,,,Novo,Inativo
195,Cliente 00195,2025-08-30,,,,Recorrente,Ativo
196,Cliente 00196,2025-04-16,,,,Recorrente,Ativo
197,Cliente 00197,2024-08-20,,,,Recorrente,Ativo
198,Cliente 00198,2025-11-22,,,,Recorrente,Ativo
199,Cliente 00199,2024-04-22,,,,VIP,Ativo
200,Cliente 00200,2025-05-11,,,,Recorrente,Ativo
201,Cliente 00201,2025-03-17,,,,Recorrente,Ativo
202,Cliente 00202,2025-07-17,,,,Novo,Ativo
203,Cliente 00203,2024-09-24,,,,Novo,Ativo
204,Cliente 00204,2025-05-24,,,,Novo,Ativo
205,Cliente 00205,2025-01-20,,,,Recorrente,Ativo
206,Cliente 00206,2025-01-21,,,,Novo,Ativo
207,Cliente 00207,2024-04-22,,,,Novo,Ativo
208,Cliente 00208,2025-09-04,,,,Recorrente,Ativo
209,Cliente 00209,2025-09-16,,,,Recorrente,Ativo
210,Cliente 00210,2024-03-21,,,,VIP,Ativo
211,Cliente 00211,2025-11-29,,,,Novo,Ativo
212,Cliente 00212,2024-04-22,,,,Recorrente,Ativo
213,Cliente 00213,2024-01-02,,,,Novo,Inativo
214,Cliente 00214,2025-10-03,,,,Novo,Ativo
215,Cliente 00215,2024-08-07,,,,Novo,Ativo
216,Cliente 00216,2025-07-19,,,,Novo,Ativo
217,Cliente 00217,2024-08-12,,,,Novo,Ativo
218,Cliente 00218,2025-01-19,,,,Recorrente,Ativo
219,Cliente 00219,2025-02-06,,,,Novo,Ativo
220,Cliente 00220,2025-09-29,,,,Recorrente,Ativo
221,Cliente 00221,2024-05-09,,,,Novo,Ativo
222,Cliente 00222,2024-02-22,,,,Novo,Ativo
223,Cliente 00223,2025-11-14,,,,Novo,Ativo
224,Cliente 00224,2025-12-30,,,,Novo,Ativo
225,Cliente 00225,2025-11-02,,,,Recorrente,Ativo
226,Cliente 00226,2025-12-10,,,,Novo,Ativo
227,Cliente 00227,2025-02-19,,,,Novo,Ativo
228,Cliente 00228,2024-09-03,,,,Novo,Ativo
229,Cliente 00229,2025-03-14,,,,Novo,Ativo
230,Cliente 00230,2024-07-21,,,,VIP,Ativo
231,Cliente 00231,2024-07-02,,,,Novo,Ativo
232,Cliente 00232,2024-05-02,,,,Recorrente,Ativo
233,Cliente 00233,2025-02-04,,,,Recorrente,Inativo
234,Cliente 00234,2024-10-20,,,,VIP,Ativo
235,Cliente 00235,2024-10-06,,,,Recorrente,Inativo
236,Cliente 00236,2025-09-01,,,,Recorrente,Ativo
237,Cliente 00237,2024-07-16,,,,Recorrente,Ativo
238,Cliente 00238,2025-05-25,,,,Recorrente,Ativo
239,Cliente 00239,2024-05-23,,,,Novo,Ativo
240,Cliente 00240,2025-08-31,,,,Novo,Ativo
241,Cliente 00241,2024-07-19,,,,Novo,Ativo
242,Cliente 00242,2024-05-03,,,,Recorrente,Ativo
243,Cliente 00243,2024-07-05,,,,Recorrente,Ativo
244,Cliente 00244,2024-11-21,,,,Novo,Ativo
245,Cliente 00245,2025-04-08,,,,Recorrente,Ativo
246,Cliente 00246,2024-12-14,,,,Novo,Ativo
247,Cliente 00247,2025-10-21,,,,Novo,Ativo
248,Cliente 00248,2025-02-06,,,,VIP,Ativo
249,Cliente 00249,2024-12-11,,,,Novo,Ativo
250,Cliente 00250,2025-05-25,,,,Novo,Ativo
251,Cliente 00251,2024-05-26,,,,Recorrente,Ativo
252,Cliente 00252,2024-05-27,,,,Recorrente,Ativo
253,Cliente 00253,2025-12-11,,,,Novo,Ativo
254,Cliente 00254,2025-05-03,,,,Recorrente,Ativo
255,Cliente 00255,2025-10-01,,,,Novo,Ativo
256,Cliente 00256,2025-07-04,,,,Novo,Ativo
257,Cliente 00257,2024-12-03,,,,Novo,Ativo
258,Cliente 00258,2025-10-02,,,,Recorrente,Ativo
259,Cliente 00259,2025-04-17,,,,Novo,Ativo
260,Cliente 00260,2024-05-30,,,,VIP,Ativo
261,Cliente 00261,2025-02-18,,,,Recorrente,Ativo
262,Cliente 00262,2024-10-24,,,,VIP,Inativo
263,Cliente 00263,2025-09-02,,,,Novo,Ativo
264,Cliente 00264,2024-09-19,,,,VIP,Ativo
265,Cliente 00265,2024-05-23,,,,Novo,Ativo
