id_entrega,id_pedido,transportadora,data_envio,data_prevista,data_entrega,status_entrega,tentativas_entrega,custo_logistico
1,1,RapidGo,2025-12-12 21:14:45,2025-12-20 00:00:00,2025-12-20 12:00:00,Entregue,1,16.89
2,2,LogExpress,2024-08-30 03:59:16,2024-09-05 00:00:00,2024-09-05 15:00:00,Entregue,1,11.22
3,3,TransBrasil,2024-05-11 06:53:48,2024-05-18 00:00:00,2024-05-16 19:00:00,Entregue,1,25.34
4,4,RapidGo,2024-10-10 06:17:17,2024-10-12 00:00:00,2024-10-12 18:00:00,Entregue,1,10.66
5,5,EntregaMax,2025-06-17 21:59:17,2025-06-24 00:00:00,2025-06-23 10:00:00,Entregue,1,64.04
6,6,RapidGo,2025-11-13 23:32:48,2025-11-17 00:00:00,2025-11-17 16:00:00,Entregue,1,62.09
7,7,EntregaMax,2024-07-01 18:01:21,2024-07-04 00:00:00,2024-07-03 11:00:00,Entregue,1,46.95
8,8,RapidGo,2024-12-13 05:36:54,2024-12-21 00:00:00,2024-12-20 08:00:00,Entregue,1,45.76
9,9,LogExpress,2025-09-26 17:14:40,2025-10-03 00:00:00,2025-10-03 13:00:00,Entregue,1,56.01
10,10,RapidGo,2024-04-09 13:35:51,2024-04-16 00:00:00,2024-04-19 15:00:00,Entregue,1,37.69
11,12,EntregaMax,2024-11-23 03:09:35,2024-11-29 00:00:00,2024-11-29 12:00:00,Entregue,1,63.02
12,13,RapidGo,2025-10-24 05:05:49,2025-10-26 00:00:00,2025-10-26 08:00:00,Entregue,1,32.13
13,14,RapidGo,2024-10-04 20:00:35,2024-10-12 00:00:00,2024-10-13 08:00:00,Entregue,2,53.04
14,16,RapidGo,2024-04-17 22:52:09,2024-04-25 00:00:00,2024-04-25 19:00:00,Entregue,1,43.53
15,17,LogExpress,2025-02-23 10:39:50,2025-03-02 00:00:00,2025-03-02 10:00:00,Entregue,1,23.66
16,18,RapidGo,2025-06-10 13:33:21,2025-06-16 00:00:00,2025-06-20 10:00:00,Entregue,2,39.99
17,19,TransBrasil,2024-06-11 00:00:52,2024-06-15 00:00:00,2024-06-15 17:00:00,Entregue,1,14.15
18,20,LogExpress,2025-03-20 21:46:31,2025-03-22 00:00:00,2025-03-22 11:00:00,Entregue,1,22.21
19,21,RapidGo,2024-03-31 16:23:43,2024-04-06 00:00:00,2024-04-06 14:00:00,Entregue,1,17.19
20,22,EntregaMax,2025-07-16 23:42:48,2025-07-23 00:00:00,2025-07-23 13:00:00,Entregue,1,20.45
21,23,RapidGo,2025-10-16 17:16:28,2025-10-19 00:00:00,2025-10-19 08:00:00,Entregue,1,44.92
22,24,LogExpress,2024-01-14 01:54:07,2024-01-16 00:00:00,2024-01-16 13:00:00,Entregue,1,31.79
23,25,LogExpress,2025-03-17 06:12:36,2025-03-22 00:00:00,2025-03-22 18:00:00,Entregue,1,37.57
24,26,TransBrasil,2025-12-31 04:56:33,2026-01-07 00:00:00,2026-01-07 10:00:00,Entregue,1,24.24
25,27,LogExpress,2025-09-10 19:20:58,2025-09-13 00:00:00,2025-09-13 14:00:00,Entregue,1,59.77
26,28,LogExpress,2025-04-06 22:40:52,2025-04-12 00:00:00,2025-04-12 13:00:00,Entregue,1,46.31
27,29,TransBrasil,2024-01-16 02:29:09,2024-01-24 00:00:00,2024-01-25 12:00:00,Entregue,1,44.11
28,30,RapidGo,2024-02-17 02:41:19,2024-02-19 00:00:00,2024-02-18 18:00:00,Entregue,1,10.32
29,31,RapidGo,2025-09-02 01:02:03,2025-09-06 00:00:00,2025-09-06 10:00:00,Entregue,1,13.48
30,32,EntregaMax,2025-07-21 11:59:01,2025-07-29 00:00:00,2025-08-01 08:00:00,Entregue,1,49.91
31,33,LogExpress,2024-02-28 00:48:12,2024-03-06 00:00:00,2024-03-06 14:00:00,Entregue,1,54.58
32,34,RapidGo,2025-01-20 01:33:31,2025-01-22 00:00:00,2025-01-25 12:00:00,Entregue,2,18.76
33,35,LogExpress,2024-11-05 13:09:52,2024-11-09 00:00:00,2024-11-11 13:00:00,Entregue,2,44.6
34,36,LogExpress,2024-09-15 00:42:29,2024-09-20 00:00:00,2024-09-23 11:00:00,Entregue,1,29.22
35,37,EntregaMax,2024-02-05 04:20:26,2024-02-11 00:00:00,2024-02-11 09:00:00,Entregue,1,33.56
36,38,EntregaMax,2025-04-17 15:24:09,2025-04-19 00:00:00,2025-04-17 12:00:00,Entregue,1,28.89
37,39,TransBrasil,2025-06-03 11:54:40,2025-06-05 00:00:00,2025-06-05 19:00:00,Entregue,1,44.27
38,40,LogExpress,2024-09-09 18:42:39,2024-09-16 00:00:00,2024-09-21 10:00:00,Entregue,2,43.97
39,41,TransBrasil,2025-08-08 11:18:52,2025-08-10 00:00:00,2025-08-10 08:00:00,Entregue,1,49.18
40,42,LogExpress,2025-02-06 20:24:20,2025-02-08 00:00:00,2025-02-06 19:00:00,Entregue,1,62.37
41,43,EntregaMax,2025-04-15 15:19:54,2025-04-20 00:00:00,2025-04-18 15:00:00,Entregue,1,39.51
42,44,RapidGo,2025-05-21 23:45:51,2025-05-26 00:00:00,2025-05-26 12:00:00,Entregue,1,23.3
43,46,RapidGo,2025-05-09 01:03:50,2025-05-11 00:00:00,2025-05-11 13:00:00,Entregue,1,40.49
44,47,LogExpress,2025-10-18 12:16:45,2025-10-26 00:00:00,2025-10-31 09:00:00,Entregue,1,24.83
45,48,LogExpress,2025-06-17 15:51:35,2025-06-19 00:00:00,2025-06-18 13:00:00,Entregue,1,24.73
46,49,TransBrasil,2024-02-29 02:20:58,2024-03-03 00:00:00,2024-03-05 19:00:00,Entregue,1,36.59
47,50,TransBrasil,2024-03-12 21:59:54,2024-03-19 00:00:00,2024-03-20 19:00:00,Entregue,2,9.57
48,51,RapidGo,2025-07-12 16:36:44,2025-07-20 00:00:00,2025-07-20 10:00:00,Entregue,1,38.93
49,52,LogExpress,2024-04-13 00:32:52,2024-04-15 00:00:00,2024-04-13 13:00:00,Entregue,1,38.61
50,53,LogExpress,2024-11-17 11:33:53,2024-11-23 00:00:00,2024-11-23 19:00:00,Entregue,1,12.86
51,54,LogExpress,2025-05-08 22:43:30,2025-05-16 00:00:00,2025-05-16 15:00:00,Entregue,1,63.62
52,55,RapidGo,2024-08-20 10:07:23,2024-08-24 00:00:00,2024-08-25 10:00:00,Entregue,1,12.47
53,56,LogExpress,2024-11-20 13:37:42,2024-11-28 00:00:00,2024-11-28 12:00:00,Entregue,1,60.17
54,57,RapidGo,2025-11-25 14:38:33,2025-12-02 00:00:00,2025-12-01 12:00:00,Entregue,1,37.45
55,58,TransBrasil,2024-07-15 22:09:23,2024-07-22 00:00:00,2024-07-22 10:00:00,Entregue,1,28.29
56,59,TransBrasil,2025-04-30 22:48:46,2025-05-07 00:00:00,2025-05-06 08:00:00,Entregue,1,63.83
57,60,LogExpress,2025-07-21 23:23:28,2025-07-24 00:00:00,2025-07-25 12:00:00,Entregue,1,17.87
58,61,RapidGo,2025-06-10 00:30:10,2025-06-13 00:00:00,2025-06-13 12:00:00,Entregue,1,22.87
59,62,LogExpress,2024-04-29 15:03:05,2024-05-02 00:00:00,2024-05-02 15:00:00,Entregue,1,17.29
60,63,LogExpress,2025-10-10 00:46:21,2025-10-12 00:00:00,2025-10-14 18:00:00,Entregue,2,46.6
61,66,RapidGo,2025-10-21 22:15:12,2025-10-23 00:00:00,2025-10-24 18:00:00,Entregue,2,30.01
62,68,EntregaMax,2024-05-08 03:36:14,2024-05-12 00:00:00,2024-05-11 19:00:00,Entregue,1,9.04
63,69,LogExpress,2024-11-12 22:22:33,2024-11-20 00:00:00,2024-11-18 15:00:00,Entregue,1,46.85
64,70,LogExpress,2025-05-19 00:50:44,2025-05-27 00:00:00,2025-05-26 12:00:00,Entregue,1,61.39
65,71,LogExpress,2024-11-14 21:14:35,2024-11-20 00:00:00,2024-11-24 11:00:00,Entregue,1,50.79
66,72,TransBrasil,2024-04-11 19:35:01,2024-04-16 00:00:00,2024-04-16 14:00:00,Entregue,1,57.43
67,74,RapidGo,2025-04-09 12:48:11,2025-04-11 00:00:00,2025-04-11 14:00:00,Entregue,1,13.88
68,76,EntregaMax,2024-01-22 01:31:20,2024-01-24 00:00:00,2024-01-24 18:00:00,Entregue,1,11.05
