id_item,id_pedido,id_produto,quantidade,preco_unitario,desconto_item,valor_item
1,1,269,3,238.58,0.0,715.74
2,1,74,1,266.63,0.0,266.63
3,2,214,2,431.53,0.0,863.06
4,2,332,1,201.42,20.14,181.28
5,3,356,1,634.44,63.44,571.0
6,4,167,1,891.1,0.0,891.1
7,5,297,2,505.22,50.52,959.92
8,5,210,1,103.27,0.0,103.27
9,5,362,1,33.21,0.0,33.21
10,6,27,2,314.18,0.0,628.36
11,6,326,1,1832.35,0.0,1832.35
12,7,384,1,61.77,0.0,61.77
13,7,460,3,218.49,32.77,622.7
14,7,140,4,1731.23,0.0,6924.92
15,7,96,1,511.88,0.0,511.88
16,8,159,1,686.54,0.0,686.54
17,9,244,1,102.52,0.0,102.52
18,9,448,1,269.1,0.0,269.1
19,10,41,1,413.43,0.0,413.43
20,10,212,3,768.71,0.0,2306.13
21,10,203,3,92.8,27.84,250.56
22,10,142,1,331.53,16.58,314.95
23,11,477,1,62.33,0.0,62.33
24,11,378,3,227.81,0.0,683.43
25,12,294,2,473.49,0.0,946.98
26,13,262,1,589.98,0.0,589.98
27,13,27,1,314.18,15.71,298.47
28,13,361,1,542.3,0.0,542.3
29,14,25,1,129.08,0.0,129.08
30,14,11,1,218.83,0.0,218.83
31,14,474,1,49.57,4.96,44.61
32,15,153,3,475.69,71.35,1355.72
33,16,404,3,679.99,306.0,1733.97
34,16,83,1,392.77,19.64,373.13
35,17,160,1,377.13,0.0,377.13
36,17,165,1,440.32,0.0,440.32
37,17,168,1,444.55,0.0,444.55
38,18,367,1,457.38,0.0,457.38
39,18,383,1,306.03,45.9,260.13
40,18,74,1,266.63,26.66,239.97
41,18,46,2,265.5,0.0,531.0
42,18,385,1,213.51,10.68,202.83
43,19,211,1,431.31,0.0,431.31
44,20,474,1,49.57,0.0,49.57
45,20,55,1,574.34,0.0,574.34
46,21,376,1,453.69,0.0,453.69
47,22,75,1,572.82,0.0,572.82
48,23,200,1,34.05,0.0,34.05
49,24,300,2,1196.68,119.67,2273.69
50,25,393,1,497.61,0.0,497.61
51,25,294,1,473.49,0.0,473.49
52,26,422,2,206.67,0.0,413.34
53,27,88,1,428.09,0.0,428.09
54,28,160,1,377.13,0.0,377.13
55,28,270,1,216.82,0.0,216.82
56,29,10,1,437.16,43.72,393.44
57,30,488,2,858.44,0.0,1716.88
58,30,398,1,326.26,48.94,277.32
59,31,173,2,504.51,0.0,1009.02
60,31,76,3,316.92,0.0,950.76
61,32,139,1,492.18,0.0,492.18
62,32,161,2,663.48,0.0,1326.96
63,33,11,2,218.83,0.0,437.66
64,34,329,1,368.94,0.0,368.94
65,35,34,3,298.44,0.0,895.32
66,35,146,1,403.2,20.16,383.04
67,35,499,1,374.96,56.24,318.72
68,35,180,1,276.98,0.0,276.98
69,35,80,2,1519.77,0.0,3039.54
70,36,300,1,1196.68,59.83,1136.85
71,36,99,1,1704.38,0.0,1704.38
72,37,152,2,696.66,0.0,1393.32
73,38,374,1,146.37,0.0,146.37
74,38,160,1,377.13,37.71,339.42
75,38,165,1,440.32,22.02,418.3
76,38,356,2,634.44,0.0,1268.88
77,38,414,1,379.72,0.0,379.72
78,39,391,3,777.17,233.15,2098.36
79,39,171,2,228.98,0.0,457.96
80,39,332,1,201.42,0.0,201.42
81,40,377,1,355.22,17.76,337.46
82,41,260,1,168.38,0.0,168.38
83,41,95,4,273.61,0.0,1094.44
84,41,445,1,252.8,0.0,252.8
