id_pagamento,id_pedido,forma_pagamento,numero_parcelas,valor_pagamento,status_pagamento,data_pagamento
1,1,Cartao de credito,12,986.36,Aprovado,2025-12-11 15:00:45
2,2,Cartao de debito,1,1057.62,Aprovado,2024-08-29 01:19:16
3,3,Pix,1,572.73,Aprovado,2024-05-09 23:15:48
4,4,Pix,1,877.15,Aprovado,2024-10-08 08:31:17
5,5,Cartao de debito,1,1105.34,Aprovado,2025-06-17 05:38:17
6,6,Pix,1,2460.71,Aprovado,2025-11-12 07:34:48
7,7,Pix,1,8127.68,Aprovado,2024-07-01 06:02:21
8,8,Cartao de credito,10,703.59,Aprovado,2024-12-12 18:37:54
9,9,Pix,1,380.64,Aprovado,2025-09-26 08:34:40
10,10,Cartao de credito,4,3285.07,Aprovado,2024-04-09 02:22:51
11,11,Pix,1,0.0,Cancelado,
12,12,Cartao de credito,2,946.98,Aprovado,2024-11-22 04:40:35
13,13,Boleto,1,1430.75,Aprovado,2025-10-22 05:19:49
14,14,Cartao de credito,6,392.52,Aprovado,2024-10-04 09:50:35
15,15,Cartao de credito,12,0.0,Cancelado,
16,16,Cartao de credito,8,2119.88,Aprovado,2024-04-16 01:58:09
17,17,Pix,1,1255.96,Aprovado,2025-02-22 09:17:50
18,18,Pix,1,1704.97,Aprovado,2025-06-09 01:01:21
19,19,Boleto,1,450.5,Aprovado,2024-06-09 07:53:52
20,20,Cartao de credito,1,646.86,Aprovado,2025-03-19 03:47:31
21,21,Cartao de credito,3,464.62,Aprovado,2024-03-29 19:33:43
22,22,Cartao de credito,8,583.69,Aprovado,2025-07-15 00:16:48
23,23,Boleto,1,65.14,Aprovado,2025-10-16 04:59:28
24,24,Cartao de debito,1,2274.48,Aprovado,2024-01-13 09:59:07
25,25,Pix,1,998.5,Aprovado,2025-03-15 09:15:36
26,26,Pix,1,413.34,Aprovado,2025-12-30 14:58:33
27,27,Cartao de debito,1,452.36,Aprovado,2025-09-10 15:03:58
28,28,Boleto,1,602.17,Aprovado,2025-04-06 18:41:52
29,29,Boleto,1,404.97,Aprovado,2024-01-15 08:03:09
30,30,Boleto,1,2001.61,Aprovado,2024-02-16 08:52:19
31,31,Cartao de credito,3,1975.8,Aprovado,2025-08-31 11:03:03
32,32,Pix,1,1819.14,Aprovado,2025-07-19 18:18:01
33,33,Cartao de credito,3,437.66,Aprovado,2024-02-26 15:11:12
34,34,Cartao de credito,2,367.37,Aprovado,2025-01-19 21:13:31
35,35,Pix,1,4913.61,Aprovado,2024-11-04 15:53:52
36,36,Pix,1,2841.23,Aprovado,2024-09-14 14:52:29
37,37,Cartao de credito,2,1409.92,Aprovado,2024-02-04 00:27:26
38,38,Pix,1,2576.29,Aprovado,2025-04-16 00:34:09
39,39,Pix,1,2746.64,Aprovado,2025-06-03 06:01:40
40,40,Cartao de credito,6,349.9,Aprovado,2024-09-08 09:46:39
41,41,Boleto,1,2144.58,Aprovado,2025-08-07 02:58:52
42,42,Boleto,1,457.3,Aprovado,2025-02-05 07:36:20
43,43,Cartao de credito,2,1050.47,Aprovado,2025-04-14 02:06:54
44,44,Cartao de credito,5,284.61,Aprovado,2025-05-20 12:21:51
45,45,Cartao de credito,4,0.0,Cancelado,
46,46,Cartao de debito,1,201.57,Aprovado,2025-05-08 05:07:50
47,47,Cartao de credito,12,483.92,Aprovado,2025-10-17 01:18:45
48,48,Cartao de debito,1,713.28,Aprovado,2025-06-15 22:20:35
49,49,Pix,1,577.61,Aprovado,2024-02-27 12:33:58
50,50,Cartao de credito,3,460.02,Aprovado,2024-03-12 18:13:54
51,51,Pix,1,645.03,Aprovado,2025-07-11 06:52:44
52,52,Pix,1,596.29,Aprovado,2024-04-12 01:07:52
53,53,Cartao de credito,2,16.14,Aprovado,2024-11-17 02:08:53
54,54,Cartao de credito,1,1294.44,Aprovado,2025-05-07 15:25:30
55,55,Cartao de credito,6,438.37,Aprovado,2024-08-19 01:42:23
56,56,Boleto,1,444.08,Aprovado,2024-11-19 12:47:42
57,57,Pix,1,939.07,Aprovado,2025-11-24 04:43:33
58,58,Cartao de credito,2,1654.57,Aprovado,2024-07-15 16:05:23
59,59,Cartao de debito,1,2444.8,Aprovado,2025-04-29 15:15:46
60,60,Pix,1,1638.75,Aprovado,2025-07-21 05:46:28
61,61,Cartao de debito,1,1822.99,Aprovado,2025-06-08 23:44:10
62,62,Pix,1,1616.85,Aprovado,2024-04-28 19:01:05
63,63,Cartao de debito,1,546.95,Aprovado,2025-10-09 21:28:21
64,64,Boleto,1,0.0,Cancelado,
65,65,Pix,1,0.0,Cancelado,
66,66,Cartao de credito,1,284.55,Aprovado,2025-10-20 11:31:12
67,67,Cartao de debito,1,0.0,Cancelado,
68,68,Pix,1,1867.3,Aprovado,2024-05-07 15:47:14
69,69,Cartao de credito,3,740.72,Aprovado,2024-11-11 09:58:33
70,70,Pix,1,1081.41,Aprovado,2025-05-17 05:33:44
71,71,Pix,1,419.98,Aprovado,2024-11-13 18:12:35
72,72,Pix,1,2574.2,Aprovado,2024-04-10 07:10:01
73,73,Cartao de credito,3,0.0,Cancelado,
74,74,Pix,1,461.19,Aprovado,2025-04-08 22:45:11
75,75,Boleto,1,0.0,Cancelado,
76,76,Pix,1,324.43,Aprovado,2024-01-21 02:32:20
77,77,Cartao de credito,1,1752.63,Aprovado,2024-01-10 23:54:25
78,78,Pix,1,405.99,Aprovado,2025-10-16 02:22:04
79,79,Boleto,1,1172.53,Aprovado,2025-02-04 12:32:12
80,80,Pix,1,526.5,Aprovado,2025-08-06 08:03:54
81,81,Pix,1,663.57,Aprovado,2024-06-23 21:08:31
82,82,Pix,1,2780.99,Aprovado,2024-03-04 11:49:54
83,83,Cartao de credito,3,604.49,Aprovado,2024-10-25 19:52:46
84,84,Pix,1,0.0,Cancelado,
85,85,Cartao de credito,6,1666.2,Aprovado,2025-07-27 17:07:34
86,86,Cartao de credito,2,725.05,Aprovado,2025-02-06 11:40:08
87,87,Boleto,1,1502.35,Aprovado,2024-01-18 11:30:44
88,88,Cartao de credito,1,2166.81,Aprovado,2025-11-12 21:54:15
89,89,Pix,1,0.0,Cancelado,
90,90,Cartao de credito,5,0.0,Cancelado,
91,91,Cartao de debito,1,1585.47,Aprovado,2025-04-15 02:58:53
92,92,Pix,1,123.72,Aprovado,2024-10-19 03:37:04
93,93,Cartao de credito,1,0.0,Cancelado,
94,94,Cartao de credito,1,427.15,Aprovado,2025-09-18 03:30:41
95,95,Cartao de credito,3,419.47,Aprovado,2024-05-28 04:34:06
96,96,Pix,1,3783.1,Aprovado,2024-10-20 01:52:15
97,97,Cartao de credito,1,0.0,Cancelado,
