id_pedido,id_cliente,data_pedido,canal_venda,status_pedido,valor_frete,desconto_pedido,valor_total
1,861,2025-12-11 13:14:45,App,Concluido,3.99,0.0,986.36
2,3773,2024-08-29 00:59:16,Site,Concluido,13.28,0.0,1057.62
3,3093,2024-05-09 21:53:48,Site,Concluido,1.73,0.0,572.73
4,467,2024-10-08 07:17:17,App,Concluido,6.05,20.0,877.15
5,4427,2025-06-17 03:59:17,Site,Concluido,13.94,5.0,1105.34
6,3445,2025-11-12 07:32:48,Site,Concluido,0.0,0.0,2460.71
7,3172,2024-07-01 06:01:21,Marketplace,Concluido,11.41,5.0,8127.68
8,2920,2024-12-12 18:36:54,App,Concluido,22.05,5.0,703.59
9,131,2025-09-26 08:14:40,Site,Concluido,24.02,15.0,380.64
10,1686,2024-04-09 00:35:51,Site,Concluido,0.0,0.0,3285.07
11,770,2025-09-01 18:52:02,Site,Cancelado,17.04,0.0,762.8
12,2392,2024-11-22 03:09:35,App,Concluido,0.0,0.0,946.98
13,2434,2025-10-22 05:05:49,Site,Concluido,0.0,0.0,1430.75
14,1185,2024-10-04 09:00:35,Site,Concluido,0.0,0.0,392.52
15,4556,2025-02-06 06:55:50,App,Cancelado,25.28,0.0,1381.0
16,3386,2024-04-16 01:52:09,Site,Concluido,17.78,5.0,2119.88
17,4118,2025-02-22 08:39:50,App,Concluido,18.96,25.0,1255.96
18,4844,2025-06-08 23:33:21,Marketplace,Concluido,13.66,0.0,1704.97
19,2905,2024-06-09 06:00:52,Site,Concluido,34.19,15.0,450.5
20,475,2025-03-19 03:46:31,App,Concluido,27.95,5.0,646.86
21,1083,2024-03-29 18:23:43,App,Concluido,10.93,0.0,464.62
22,2559,2025-07-14 23:42:48,Marketplace,Concluido,15.87,5.0,583.69
23,2048,2025-10-16 03:16:28,Site,Em processamento,31.09,0.0,65.14
24,2748,2024-01-13 09:54:07,App,Concluido,25.79,25.0,2274.48
25,976,2025-03-15 09:12:36,App,Concluido,27.4,0.0,998.5
26,1807,2025-12-30 13:56:33,Marketplace,Concluido,0.0,0.0,413.34
27,190,2025-09-10 14:20:58,Site,Concluido,24.27,0.0,452.36
28,2735,2025-04-06 17:40:52,Marketplace,Concluido,23.22,15.0,602.17
29,3006,2024-01-15 06:29:09,App,Concluido,11.53,0.0,404.97
30,4659,2024-02-16 07:41:19,App,Concluido,7.41,0.0,2001.61
31,1900,2025-08-31 10:02:03,Site,Concluido,16.02,0.0,1975.8
32,1268,2025-07-19 16:59:01,App,Concluido,0.0,0.0,1819.14
33,1529,2024-02-26 14:48:12,Site,Concluido,0.0,0.0,437.66
34,3203,2025-01-19 20:33:31,Marketplace,Em processamento,28.43,30.0,367.37
35,3557,2024-11-04 15:09:52,Site,Concluido,20.01,20.0,4913.61
36,3891,2024-09-14 13:42:29,App,Concluido,0.0,0.0,2841.23
37,647,2024-02-04 00:20:26,Site,Concluido,16.6,0.0,1409.92
38,2889,2025-04-16 00:24:09,Site,Concluido,23.6,0.0,2576.29
39,2436,2025-06-03 05:54:40,Marketplace,Concluido,3.9,15.0,2746.64
40,601,2024-09-08 09:42:39,Marketplace,Concluido,12.44,0.0,349.9
41,2364,2025-08-07 02:18:52,Site,Concluido,0.0,0.0,2144.58
42,2062,2025-02-05 06:24:20,Marketplace,Concluido,11.81,25.0,457.3
43,242,2025-04-14 01:19:54,Site,Concluido,0.0,0.0,1050.47
44,2042,2025-05-20 11:45:51,Site,Concluido,5.13,10.0,284.61
45,2825,2025-05-19 05:59:10,App,Cancelado,31.28,10.0,1491.35
46,2613,2025-05-08 04:03:50,Site,Concluido,0.0,0.0,201.57
47,1364,2025-10-17 01:16:45,Site,Concluido,6.46,5.0,483.92
48,1479,2025-06-15 20:51:35,App,Concluido,7.04,5.0,713.28
49,2557,2024-02-27 12:20:58,Site,Concluido,33.07,0.0,577.61
50,776,2024-03-12 17:59:54,Site,Concluido,23.62,5.0,460.02
51,4015,2025-07-11 05:36:44,Site,Concluido,34.98,5.0,645.03
52,35,2024-04-11 23:32:52,App,Concluido,6.31,0.0,596.29
53,3153,2024-11-17 00:33:53,Marketplace,Concluido,4.91,11.24,16.14
54,1956,2025-05-07 13:43:30,Site,Concluido,21.88,10.0,1294.44
55,1586,2024-08-19 01:07:23,Site,Concluido,2.81,0.0,438.37
56,3944,2024-11-19 11:37:42,App,Concluido,27.74,15.0,444.08
57,3074,2025-11-24 03:38:33,Marketplace,Em processamento,27.91,0.0,939.07
58,1022,2024-07-15 14:09:23,App,Concluido,3.0,0.0,1654.57
59,3462,2025-04-29 14:48:46,Site,Concluido,28.83,15.0,2444.8
60,2614,2025-07-21 04:23:28,Site,Concluido,27.03,15.0,1638.75
61,3844,2025-06-08 22:30:10,Site,Concluido,20.62,10.0,1822.99
62,1501,2024-04-28 17:03:05,Site,Concluido,13.91,0.0,1616.85
63,4799,2025-10-09 19:46:21,Site,Concluido,29.4,0.0,546.95
64,162,2025-05-22 15:18:38,Site,Cancelado,26.25,0.0,1213.69
65,4298,2025-03-10 02:22:25,Site,Cancelado,8.21,0.0,682.7
66,1982,2025-10-20 10:15:12,Site,Concluido,15.95,0.0,284.55
67,996,2025-11-14 02:52:08,App,Cancelado,0.0,20.0,212.64
68,4912,2024-05-07 14:36:14,Marketplace,Concluido,22.96,25.0,1867.3
69,3343,2024-11-11 08:22:33,Marketplace,Concluido,0.0,0.0,740.72
70,4552,2025-05-17 04:50:44,Site,Concluido,27.33,0.0,1081.41
71,3799,2024-11-13 17:14:35,App,Concluido,29.56,0.0,419.98
72,1276,2024-04-10 05:35:01,App,Concluido,1.83,0.0,2574.2
73,1017,2025-04-03 17:46:45,Site,Cancelado,8.21,15.0,336.46
74,338,2025-04-08 21:48:11,Marketplace,Concluido,14.04,0.0,461.19
75,879,2024-05-07 01:16:21,Marketplace,Cancelado,33.35,0.0,920.34
76,1077,2024-01-21 02:31:20,Site,Concluido,15.13,0.0,324.43
77,4888,2024-01-10 22:59:25,App,Concluido,6.18,0.0,1752.63
78,3994,2025-10-16 00:30:04,App,Concluido,24.8,0.0,405.99
79,4860,2025-02-04 11:01:12,Site,Concluido,19.56,30.0,1172.53
80,380,2025-08-06 06:23:54,Site,Concluido,20.18,0.0,526.5
81,493,2024-06-23 21:08:31,Site,Concluido,33.04,10.0,663.57
82,2063,2024-03-04 11:48:54,Marketplace,Concluido,16.84,15.0,2780.99
83,3885,2024-10-25 18:43:46,Marketplace,Concluido,0.0,0.0,604.49
84,65,2024-11-27 10:41:18,Site,Cancelado,0.0,25.0,122.82
85,2569,2025-07-27 16:51:34,App,Concluido,6.87,0.0,1666.2
86,2028,2025-02-06 09:45:08,Site,Concluido,0.0,15.0,725.05
87,2696,2024-01-18 10:05:44,App,Concluido,13.35,0.0,1502.35
88,1496,2025-11-12 20:18:15,Marketplace,Concluido,30.44,30.0,2166.81
89,392,2025-03-21 03:00:41,Site,Cancelado,32.08,0.0,1174.44
90,4515,2024-10-24 14:14:19,Site,Cancelado,20.37,0.0,2880.92
91,4475,2025-04-15 02:00:53,Site,Concluido,0.0,0.0,1585.47
92,3562,2024-10-19 02:08:04,Marketplace,Concluido,22.98,0.0,123.72
93,2279,2024-06-04 05:19:53,Site,Cancelado,15.37,0.0,1630.48
94,3100,2025-09-18 02:58:41,Site,Concluido,26.8,10.0,427.15
95,201,2024-05-28 02:51:06,App,Concluido,0.0,15.0,419.47
96,4876,2024-10-20 00:21:15,Site,Concluido,19.45,25.0,3783.1
97,3105,2024-12-31 08:57:54,App,Cancelado,0.0,10.0,180.54
98,4599,2025-10-01 00:56:10,App,Concluido,16.46,20.0,1416.66
99,2455,2025-02-17 18:44:58,App,Concluido,14.24,0.0,425.21
100,3646,2024-07-25 10:10:42,App,Concluido,10.55,25.0,539.1
101,805,2024-05-28 05:02:36,Site,Concluido,21.57,5.0,177.64
102,2732,2025-07-14 03:15:31,Marketplace,Concluido,1.35,0.0,681.54
103,2774,2025-03-08 16:04:02,Site,Concluido,14.97,5.0,2268.08
104,1571,2024-12-29 05:47:43,App,Concluido,20.15,0.0,523.23
105,2691,2025-05-24 01:58:14,App,Concluido,30.64,15.0,2319.1
106,3841,2024-07-27 15:26:52,Marketplace,Concluido,10.72,0.0,886.94
